Mean,Standard Deviation,Least Sq Err,Median,,Mean,Standard Deviation,Least Sq Err,Median,,P value,,interest rate
0.006518705,0.016337081,0.033482355,0.007690491,,0.014154145,0.074054801,0.660164453,0.007973783,,0.2712,,1
0.007757129,0.016601349,0.034334522,0.007849481,,0.01415414,0.07405458,0.659283529,0.007973682,,0.3568,,1.1
0.008266271,0.01829626,0.041843263,0.007257772,,0.014154133,0.07405398,0.658635866,0.007973454,,0.3987,,1.2
0.00867353,0.020707028,0.053699921,0.007171493,,0.014153889,0.074050348,0.658174259,0.007972146,,0.4357,,1.3
0.00906106,0.02434698,0.074060225,0.007171493,,0.014148982,0.073971297,0.656612996,0.007929505,,0.4749,,1.4
